ProductId,SubCategoryId,Product Name
TEC-AC-10003033,1,Plantronics CS510 - Over-the-Head monaural Wireless Headset System
FUR-CH-10003950,5,"Novimex Executive Leather Armchair, Black"
TEC-PH-10004664,2,"Nokia Smart Phone, with Caller ID"
TEC-PH-10004583,2,"Motorola Smart Phone, Cordless"
TEC-SHA-10000501,3,"Sharp Wireless Fax, High-Speed"
TEC-PH-10000030,2,"Samsung Smart Phone, with Caller ID"
FUR-CH-10004050,5,"Novimex Executive Leather Armchair, Adjustable"
FUR-TA-10002958,6,"Chromcraft Conference Table, Fully Assembled"
OFF-BI-10003527,9,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind
FUR-TA-10000198,6,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases
OFF-SU-10002881,10,Martin Yale Chadless Opener Electric Letter Opener
FUR-TA-10001889,6,"Bevis Conference Table, Fully Assembled"
TEC-CIS-10001717,2,"Cisco Smart Phone, with Caller ID"
FUR-CH-10002033,5,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-AP-10003500,11,"KitchenAid Microwave, White"
OFF-AP-10000423,11,"Breville Refrigerator, Red"
TEC-AC-10004145,1,Logitech diNovo Edge Keyboard
OFF-AP-10004512,11,"Hoover Stove, Red"
TEC-CO-10000865,3,"Brother Fax Machine, High-Speed"
OFF-KIT-10004058,11,"KitchenAid Stove, White"
FUR-HON-10000224,6,"Hon Computer Table, with Bottom Storage"
TEC-PH-10001363,2,Apple iPhone 5S
FUR-CH-10000027,5,"SAFCO Executive Leather Armchair, Black"
OFF-AP-10003590,11,"KitchenAid Refrigerator, Black"
TEC-PH-10004182,2,"Motorola Smart Phone, Full Size"
FUR-TA-10002827,6,"Hon Computer Table, Fully Assembled"
FUR-TA-10004744,6,"Lesro Conference Table, with Bottom Storage"
TEC-PH-10002885,2,Apple iPhone 5
FUR-CH-10001415,5,"Office Star Executive Leather Armchair, Red"
TEC-PH-10002815,2,"Samsung Smart Phone, VoIP"
TEC-MA-10000161,4,"Okidata Inkjet, Wireless"
FUR-CH-10002024,5,HON 5400 Series Task Chairs for Big and Tall
OFF-AP-10004246,11,"Breville Stove, Red"
FUR-TA-10003473,6,Bretford Rectangular Conference Table Tops
TEC-APP-10000308,2,"Apple Smart Phone, Full Size"
TEC-MA-10003979,4,Ativa V4110MDD Micro-Cut Shredder
TEC-MA-10004125,4,Cubify CubeX 3D Printer Triple Head Print
TEC-CO-10000013,3,"Brother Fax Machine, Laser"
TEC-PH-10000499,2,"Motorola Smart Phone, Full Size"
TEC-PH-10003856,2,"Motorola Smart Phone, with Caller ID"
FUR-BO-10004852,7,"Sauder Classic Bookcase, Traditional"
OFF-AP-10000486,11,"Cuisinart Stove, Silver"
OFF-BI-10001120,9,Ibico EPK-21 Electric Binding System
FUR-CH-10003365,5,"Office Star Executive Leather Armchair, Adjustable"
FUR-CH-10000602,5,"Novimex Executive Leather Armchair, Red"
TEC-MA-10002680,4,"Konica Inkjet, White"
FUR-CH-10000891,5,"Harbour Creations Executive Leather Armchair, Black"
TEC-CAN-10003392,3,"Canon Copy Machine, Color"
TEC-CO-10001449,3,Hewlett Packard LaserJet 3310 Copier
FUR-BO-10001372,7,"Safco Classic Bookcase, Pine"
TEC-MOT-10002272,2,"Motorola Smart Phone, with Caller ID"
TEC-CO-10004997,3,"Hewlett Wireless Fax, Color"
TEC-CO-10001766,3,Canon PC940 Copier
FUR-TA-10000226,6,"Chromcraft Conference Table, with Bottom Storage"
OFF-AP-10002244,11,"Breville Refrigerator, White"
TEC-PH-10001459,2,Samsung Galaxy Mega 6.3
FUR-BO-10001073,7,"Safco Classic Bookcase, Metal"
TEC-MA-10000045,4,Zebra ZM400 Thermal Label Printer
TEC-PH-10002035,2,"Samsung Smart Phone, Cordless"
TEC-PH-10002565,2,"Apple Audio Dock, with Caller ID"
OFF-AP-10002945,11,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
FUR-BO-10004999,7,"Safco Classic Bookcase, Metal"
FUR-TA-10001205,6,"Chromcraft Wood Table, Rectangular"
TEC-PH-10004196,2,"Samsung Smart Phone, Cordless"
FUR-CHR-10001018,6,"Chromcraft Round Table, Rectangular"
FUR-CH-10003232,5,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-AP-10001630,11,"Hamilton Beach Microwave, Black"
FUR-HAR-10002873,5,"Harbour Creations Executive Leather Armchair, Adjustable"
FUR-TA-10000687,6,"Bevis Conference Table, with Bottom Storage"
TEC-PH-10004505,2,"Nokia Smart Phone, Full Size"
TEC-PH-10002683,2,"Apple Smart Phone, Cordless"
TEC-CO-10002269,3,"Brother Ink, Color"
TEC-CO-10002526,3,"Sharp Wireless Fax, Digital"
FUR-CH-10002891,5,"Hon Executive Leather Armchair, Adjustable"
TEC-CAN-10001437,3,"Canon Wireless Fax, Laser"
OFF-BI-10004995,9,GBC DocuBind P400 Electric Binding System
TEC-PH-10004327,2,"Motorola Smart Phone, Full Size"
OFF-AP-10001621,11,"Hamilton Beach Refrigerator, Black"
OFF-HOO-10001881,11,"Hoover Stove, White"
TEC-CO-10001954,3,"Brother Wireless Fax, Laser"
FUR-BO-10003282,7,"Ikea Classic Bookcase, Mobile"
TEC-CO-10003102,3,"Canon Copy Machine, Color"
FUR-TA-10003392,6,Global Adaptabilities Conference Tables
OFF-AP-10002552,11,"Hamilton Beach Stove, White"
TEC-MOT-10000554,2,"Motorola Smart Phone, Full Size"
FUR-TA-10003627,6,"Bevis Conference Table, with Bottom Storage"
FUR-BO-10001133,7,"Ikea Classic Bookcase, Mobile"
TEC-MA-10003515,4,"Panasonic Printer, Red"
